Sender,Subject,Label,predicted_risk_level,predicted_risk_score,certainty_level,coordination_explanation,linguistic_risk_score,linguistic_certainty,technical_risk_score,technical_certainty,threat_intel_risk_score,threat_intel_certainty,processing_time_seconds,processed_timestamp,sender_missing,status
,gpcm summary 1999,0,LOW,0.1,INCONCLUSIVE,"Based on the email security analysis, the overall risk assessment for this email is low, with an inconclusive certainty level. The primary contributing factor to this assessment is the Threat Intelligence Agent, which identified a risk score of 0.50 due to the email's URL matching entries in known malware databases, although the Linguistic and Technical Validation agents found no significant risks. The convergence of these indicators shows that while the email's content and technical aspects appear benign, the URL's association with known threats raises some concern. Specifically, the Threat Intelligence Agent's findings, combined with the low-risk scores from the other agents, result in the final low-risk assessment.",0.0,INCONCLUSIVE,0.0,INCONCLUSIVE,0.5,LOW,37.5,2025-11-16T23:53:26.518866,True,success
Wells Fargo Online,New Alert from Wells Fargo,1,LOW,0.16,LOW,"Based on the email security analysis, the overall risk assessment for this email is low, with a risk score of 0.16 and low certainty. The primary contributing factor to this score is the Technical Validation Agent, which flagged the email with a high certainty risk score of 0.80, primarily due to the domain's age being only 30 days old, which is a common indicator of potential phishing attempts. Although the Linguistic and Threat Intelligence Agents did not find any significant issues, the Technical Validation Agent's findings suggest that further scrutiny is warranted, as the domain's recent creation aligns with known tactics used in phishing campaigns. The convergence of these indicators highlights the importance of considering multiple factors when assessing email security risks.",0.0,INCONCLUSIVE,0.8,HIGH,0.0,INCONCLUSIVE,14.0,2025-11-16T23:53:40.524509,False,success
,the new power company,0,LOW,0.06,INCONCLUSIVE,"Based on the email security analysis, the overall risk assessment for this email is low, with a risk score of 0.06 and an inconclusive certainty level. The primary contributing factor to this score is the Technical Validation Agent, which flagged potential concerns with a risk score of 0.30, while the Linguistic and Threat Intelligence Agents found no significant issues. The Technical Validation Agent's findings suggest that the email may have some technical irregularities, but these were not corroborated by other indicators, such as the Linguistic Agent's analysis of the email's content or the Threat Intelligence Agent's checks against known threat databases. The domain age and other technical details did not raise any red flags, contributing to the overall low risk assessment.",0.0,INCONCLUSIVE,0.3,INCONCLUSIVE,0.0,INCONCLUSIVE,16.88,2025-11-16T23:53:57.401558,True,success
,re : txu imbalance,0,LOW,0.3,LOW,"Email security analysis completed. Risk Score: 0.30 (LOW). Multiple security agents analyzed this email using ML models, infrastructure validation, and threat intelligence databases. See detailed findings below for specific risk indicators.",0.5,MEDIUM,0.0,INCONCLUSIVE,0.0,LOW,39.58,2025-11-16T23:54:36.985424,True,success
Xerox Fax,Renew Your E-mail Password jose@monkey.org,1,MEDIUM,0.59988,DEFINITIVE,"Based on the email security analysis, this email poses a medium risk, with a definitive certainty level, primarily due to linguistic red flags. The Linguistic Agent identified high urgency language, a suspicious link, and a sender mismatch, contributing significantly to the overall risk score. While the Technical Validation and Threat Intelligence agents did not find conclusive evidence, the combination of phishing language and the suspicious URL, which is hosted on a domain created less than a month ago, strongly suggests a potential phishing attempt. The high confidence of the Linguistic Agent, coupled with the inconclusive but not contradictory results from other agents, warrants caution and further investigation.",0.9998,DEFINITIVE,0.0,INCONCLUSIVE,0.0,INCONCLUSIVE,30.1,2025-11-16T23:55:07.126844,False,success
,hey ! tell your friends to hit me up,0,MEDIUM,0.5999382734298706,DEFINITIVE,"Based on the email security analysis, this email presents a medium risk, with a definitive certainty level, primarily due to linguistic indicators suggesting a phishing attempt. The Linguistic Agent identified a high BERT model confidence score of 0.9998971223831177, flagging the email for phishing language, a suspicious URL, and poor grammar typical of such attempts. Although the Technical Validation and Threat Intelligence agents did not contribute to the risk score, the strong linguistic indicators alone warrant caution. The convergence of these factors suggests that while the email may not be technically malicious, its content and language patterns are highly suspicious and indicative of a potential phishing attempt.",0.9998971223831176,DEFINITIVE,0.0,INCONCLUSIVE,0.0,INCONCLUSIVE,16.41,2025-11-16T23:55:23.538493,True,success
Mail Adminstrator,[Ticket ID:SGYE-271-LPEhz4YtyUWe] IMPORTANT: You have 1 or more new messages for Your jose@monkey.org,1,MEDIUM,0.59976,DEFINITIVE,"Based on the email security analysis, this email presents a medium risk, with a definitive certainty level, primarily due to linguistic red flags. The Linguistic Agent identified several concerning elements, including high urgency indicators like password expiration, poor grammar and spelling errors, and a suspicious sender address, all contributing to its maximum risk score of 1.00. Although the Technical Validation and Threat Intelligence agents did not find conclusive evidence, the linguistic indicators alone are sufficient to warrant caution. The convergence of these factors suggests a potential phishing attempt, as the language used is consistent with common manipulation tactics to provoke immediate action.",0.9996,DEFINITIVE,0.0,INCONCLUSIVE,0.0,INCONCLUSIVE,30.15,2025-11-16T23:55:53.691706,False,success
,latest draft,0,LOW,0.3,LOW,"Based on the email security analysis, the overall risk assessment is low, with a risk score of 0.30 and low certainty. The primary contributing factor to this score is the linguistic analysis, which flagged the email for having a generic subject line, requesting action, and mentioning an attachment, all of which are common indicators of phishing attempts. Although the technical validation and threat intelligence agents did not find any conclusive evidence of malicious activity, the linguistic red flags suggest a moderate level of caution is warranted. The convergence of these indicators, particularly the linguistic patterns, highlights the importance of scrutinizing emails that request actions or include attachments, even if other technical checks do not immediately raise alarms.",0.5,MEDIUM,0.0,INCONCLUSIVE,0.0,INCONCLUSIVE,24.17,2025-11-16T23:56:17.862874,True,success
Google Groups,Invitation to join 4Ny9gvu MEETING WITH WITTHH 39tmvz4,1,MEDIUM,0.5549999999999999,MEDIUM,"Based on the email security analysis, this email presents a medium risk, with a risk score of 0.55 and medium certainty. The primary contributing factor to this assessment is the linguistic analysis, which flagged the email for having a suspicious sender address, nonsensical subject line and body text, and multiple suspicious links, with a high certainty level and a significant weight of 60%. The technical validation and threat intelligence agents did not find conclusive evidence to increase the risk score, with the technical validation agent finding inconclusive results and the threat intelligence agent finding no matches in known threat databases. The convergence of indicators from the linguistic agent highlights the email's suspicious nature, despite the lack of supporting evidence from other agents.",0.825,HIGH,0.3,INCONCLUSIVE,0.0,LOW,60.43,2025-11-16T23:57:18.297667,False,success
"""DocuSign.com""",Complete Via DocuSign: Signature required - 25/11/24,1,LOW,0.3,LOW,"Based on the email security analysis, the overall risk assessment is low, with a risk score of 0.30 and low certainty. The primary contributing factor to this assessment is the linguistic analysis, which flagged the email for having a generic greeting, mentioning a secure link, and an unusual sender email address format. While the technical validation and threat intelligence agents did not find any conclusive evidence of malicious intent, the linguistic indicators suggest that this email warrants caution. The convergence of these factors, particularly the linguistic red flags, indicates that this email may not be legitimate, despite the lack of technical or intelligence-based threats.",0.5,LOW,0.0,INCONCLUSIVE,0.0,LOW,41.76,2025-11-16T23:58:00.062944,False,success
OneDrive,File From info@monkey.org,1,MEDIUM,0.59856,DEFINITIVE,"Based on the email security analysis, this email presents a medium risk, with a definitive certainty level, primarily due to strong indicators of a phishing attempt. The Linguistic Agent identified high-confidence phishing language (0.9976), urgent intent (0.7981), and impersonation of OneDrive from a non-matching domain (monkey.org), contributing significantly to the overall risk score. Although the Technical Validation and Threat Intelligence agents did not find conclusive evidence, the linguistic red flags alone warrant caution. The convergence of these indicators suggests that this email is likely a phishing attempt, despite the lack of technical or intelligence-based corroboration.",0.9976,DEFINITIVE,0.0,INCONCLUSIVE,0.0,INCONCLUSIVE,13.06,2025-11-16T23:58:13.129169,False,success
Netflix Renewal,Extend your account for free,1,MEDIUM,0.59964,DEFINITIVE,"Based on the email security analysis, this email presents a medium risk, with a definitive certainty level, primarily due to linguistic indicators suggesting a phishing attempt. The Linguistic Agent identified suspicious links, impersonation of Netflix, and urgency tactics, contributing significantly to the overall risk score. Although the Technical Validation and Threat Intelligence agents did not find conclusive evidence, the combination of impersonation and urgency detected by the Linguistic Agent strongly suggests a potential phishing email. The high confidence in these findings (with a risk score of 1.00) warrants caution and further investigation.",0.9994,DEFINITIVE,0.0,INCONCLUSIVE,0.0,INCONCLUSIVE,22.14,2025-11-16T23:58:42.049749,False,success
Report Admin,Your monkey.org: Password Expire Request = 07,1,HIGH,0.75964,DEFINITIVE,"Email security analysis completed. Risk Score: 0.76 (HIGH). Multiple security agents analyzed this email using ML models, infrastructure validation, and threat intelligence databases. See detailed findings below for specific risk indicators.",0.9994,DEFINITIVE,0.8,INCONCLUSIVE,0.0,LOW,44.39,2025-11-16T23:59:26.437650,False,success
"""monkey.org""",jose@monkey.org username authentication will expired on 22 Apr 2024,1,MEDIUM,0.4,LOW,"Based on the email security analysis, the overall risk assessment is MEDIUM with a LOW certainty level, indicating that while there are some concerning factors, the evidence is not conclusive enough to definitively classify this email as malicious. The PRIMARY contributing factors to this assessment are the Linguistic Agent's detection of phishing language, such as urgency indicated by an expiration date and a request to verify your email, and the Technical Validation Agent's inconclusive findings. The Linguistic Agent's findings are supported by the email's consistent tone, which is often used in phishing attempts to build trust. However, the Threat Intelligence Agent did not find any matches in known malware databases, which lowers the overall risk score. The final risk score of 0.40 is derived from the Linguistic Agent's 0.30 contribution and the Technical Validation Agent's 0.10 contribution, with the Threat Intelligence Agent contributing 0.00.",0.5,MEDIUM,0.5,INCONCLUSIVE,0.0,INCONCLUSIVE,25.94,2025-11-16T23:59:59.343588,False,success
,visit to enron,0,LOW,0.06,INCONCLUSIVE,"Based on the email security analysis, the overall risk assessment for this email is low, with a risk score of 0.06 and an inconclusive certainty level. The primary contributing factor to this score is the Technical Validation Agent, which flagged potential concerns with a risk score of 0.30, while the Linguistic and Threat Intelligence Agents found no significant issues. The Technical Validation Agent detected anomalies in the email's technical aspects, but these were not corroborated by the Threat Intelligence Agent, which found no matches in known threat databases, nor by the Linguistic Agent, which did not identify any phishing or suspicious language patterns. Given the low risk score and inconclusive certainty, this email is likely safe, but users should remain cautious and report any unusual activity.",0.0,INCONCLUSIVE,0.3,INCONCLUSIVE,0.0,INCONCLUSIVE,44.1,2025-11-17T00:00:43.444070,True,success
,cash : $ 48463,0,MEDIUM,0.59994,DEFINITIVE,"Based on the email security analysis, this email presents a medium risk, with a definitive certainty level. The primary contributing factor is the linguistic content, which our Linguistic Agent flagged as highly suspicious, with a risk score of 1.00. This agent detected financial enticement, baiting language, and urgency in the subject line, all of which are common indicators of phishing attempts. While the Technical Validation and Threat Intelligence agents did not find any conclusive evidence, the strong linguistic indicators alone warrant a medium risk assessment. The convergence of these linguistic factors, with a definitive certainty level, suggests that this email should be treated with caution.",0.9999,DEFINITIVE,0.0,INCONCLUSIVE,0.0,LOW,26.92,2025-11-17T00:01:10.361541,True,success
"""Bakker Jensen (via Google Drive)""","Item shared with you: ""We have Disabled Your Online Account ID Due to Unrecognized Log-In.pdf""",1,MEDIUM,0.69988,DEFINITIVE,"Email security analysis completed. Risk Score: 0.70 (MEDIUM). Multiple security agents analyzed this email using ML models, infrastructure validation, and threat intelligence databases. See detailed findings below for specific risk indicators.",0.9998,DEFINITIVE,0.5,INCONCLUSIVE,0.0,LOW,40.83,2025-11-17T00:01:51.189051,False,success
Hr-Via-Monkey,Updated-Staffs-Information/Employee.xls 08/29/2024 01:22:52 am,1,LOW,0.3,LOW,"Based on the email security analysis, the overall risk assessment is LOW, with a risk score of 0.30 and low certainty. The PRIMARY contributing factor to this assessment is the Linguistic Agent, which identified unusual elements in the email, such as an atypical subject line with an attached file, a request to check a staff memo, and a mention of compliance to the Annual Leave Plan. The Technical Validation and Threat Intelligence Agents did not find any conclusive evidence of malicious intent, as the domain age and URL did not match any known threats in malware databases. The indicators converge to suggest that while the email's language raises some concerns, there is insufficient technical or intelligence-based evidence to confirm it as a high-risk threat.",0.5,MEDIUM,0.0,INCONCLUSIVE,0.0,INCONCLUSIVE,20.76,2025-11-17T00:02:11.949851,False,success
"""nk f mric Suppor... (via Google Drive)""","Item shared with you: ""We Blocked Your Billing Access ID Due to Unauthorized Access.pdf""",1,MEDIUM,0.6944199999999999,DEFINITIVE,"Based on the email security analysis, this email presents a medium risk, with a definitive certainty level, primarily due to strong indicators of a phishing attempt. The Linguistic Agent identified high-confidence phishing language (0.9907), fear tactics in the subject line, and a suspicious sender address, contributing significantly to the overall risk score. While the Technical Validation Agent found inconclusive evidence and the Threat Intelligence Agent did not find any matches in known threat databases, the linguistic red flags alone warrant caution. The convergence of these indicators suggests that this email is likely a phishing attempt, despite the lack of technical or intelligence-based corroboration.",0.9907,DEFINITIVE,0.5,INCONCLUSIVE,0.0,LOW,28.54,2025-11-17T00:03:48.468690,False,success
HR Department,2024 Annual Leave Compliance Report,1,LOW,0.16,LOW,"Based on the email security analysis, the overall risk assessment for this email is low, with a risk score of 0.16 and low certainty. The primary contributing factor to this score is the Technical Validation Agent, which definitively identified a potential risk with a score of 0.80, despite the Linguistic and Threat Intelligence Agents finding no significant issues. The Technical Validation Agent likely flagged the email due to technical inconsistencies, such as a suspicious URL or domain age, while the Linguistic Agent found no phishing language and the Threat Intelligence Agent did not find matches in known malware databases. Although the technical indicators suggest some caution, the overall low risk score indicates that this email is likely safe.",0.0,INCONCLUSIVE,0.8,DEFINITIVE,0.0,LOW,89.97,2025-11-17T00:05:18.454223,False,success
,re : ppharmacybymail 19 - ocu,0,LOW,0.06,INCONCLUSIVE,"Based on the email security analysis, the overall risk assessment is low, with an inconclusive certainty level, indicating that the email may not be malicious but warrants further investigation. The primary contributing factors to this assessment are the technical validation agent, which flagged the email with a low certainty due to potential technical inconsistencies, and the linguistic agent, which found no phishing language or suspicious content. The technical validation agent's findings did not align with any known threats in the threat intelligence databases, suggesting that while there are some technical irregularities, they do not currently match known malicious patterns. The low risk score of 0.06, combined with the inconclusive certainty level, suggests that while the email is unlikely to be malicious, it should still be reviewed for any potential internal policy violations or further technical anomalies.",0.0,INCONCLUSIVE,0.3,LOW,0.0,LOW,17.36,2025-11-17T00:05:35.819286,True,success
,look ! desparately seeking 100 lazy people . . . . who wants to make money,0,MEDIUM,0.65994,DEFINITIVE,"Email security analysis completed. Risk Score: 0.66 (MEDIUM). Multiple security agents analyzed this email using ML models, infrastructure validation, and threat intelligence databases. See detailed findings below for specific risk indicators.",0.9999,DEFINITIVE,0.3,INCONCLUSIVE,0.0,INCONCLUSIVE,33.93,2025-11-17T00:06:09.755218,True,success
,whiter teeth in just two weeks - lifelike escadrille thomas,0,LOW,0.06,INCONCLUSIVE,"Based on the email security analysis, the overall risk assessment for this email is low, with a risk score of 0.06 and an inconclusive certainty level. The primary contributing factor to this score is the Technical Validation Agent, which flagged potential concerns due to the email's unusual subject line and sender address format, although it did not find definitive evidence of malicious intent. The Linguistic Agent and Threat Intelligence Agent both returned inconclusive results, with the former finding no phishing language and the latter not identifying any known malicious URLs or domains. While the indicators from the Technical Validation Agent raised some concerns, the lack of supporting evidence from the other agents led to the overall low risk assessment.",0.0,INCONCLUSIVE,0.3,INCONCLUSIVE,0.0,INCONCLUSIVE,10.85,2025-11-17T00:06:20.603650,True,success
"""monkey.org""",(12) .,1,MEDIUM,0.4,LOW,"Based on the email security analysis, this email presents a medium risk, but with low certainty, indicating that while there are some concerning factors, the overall threat level is not definitively high. The primary contributing factors to this assessment are the cryptic subject line, minimal and unclear body content, and a partial email address found by the Linguistic Agent, as well as the sender's domain being flagged by the Threat Intelligence Agent for potential malicious activity. The Linguistic Agent's findings of phishing-like language and suspicious content structure converge with the Threat Intelligence Agent's discovery that the sender's domain has been associated with known threats, although the Technical Validation Agent found no conclusive evidence of malicious intent. Specific evidence supporting this assessment includes the domain's relatively young age (registered within the last year) and a low confidence score (65%) from the machine learning model, indicating that while the email exhibits some suspicious characteristics, it may not be a clear-cut case of a malicious attempt.",0.5,MEDIUM,0.0,INCONCLUSIVE,0.5,LOW,13.66,2025-11-17T00:06:34.265249,False,success
NeftIlx,Tu cuenta tiene problema en el pago,1,MEDIUM,0.59898,DEFINITIVE,"Based on the email security analysis, this email presents a medium risk, with a definitive certainty level, primarily due to linguistic indicators suggesting a phishing attempt. The Linguistic Agent identified high urgency phrases and fear-based manipulation, such as ""pago rechazado"" and ""tu servicio quedar suspendido,"" along with a suspicious sender name ""NeftIlx,"" contributing significantly to the overall risk score. Although the Technical Validation and Threat Intelligence agents did not find conclusive evidence, the strong linguistic indicators alone warrant caution. The convergence of these factors suggests that this email is likely a phishing attempt aiming to manipulate the recipient into urgent action.",0.9983,DEFINITIVE,0.0,INCONCLUSIVE,0.0,LOW,32.4,2025-11-17T00:07:06.670046,False,success
,make your rivals envy,0,LOW,0.16,INCONCLUSIVE,"Based on the email security analysis, the overall risk assessment for this email is low, with an inconclusive certainty level. The primary contributing factors to this assessment are the technical validation and threat intelligence agents, with the latter identifying a potential risk due to the URL matching known malware databases, while the technical validation agent flagged some inconsistencies. Although the linguistic agent found no phishing language, the convergence of indicators from the other agents suggests a low risk. The final risk score of 0.16 is primarily influenced by the threat intelligence agent's 0.50 risk score, which, despite its low certainty, indicates that the URL has been flagged in threat databases.",0.0,INCONCLUSIVE,0.3,INCONCLUSIVE,0.5,LOW,31.01,2025-11-17T00:07:37.682205,True,success
,prescription drugs now online ! w,0,HIGH,0.7599586582183838,DEFINITIVE,"Based on the email security analysis, this email poses a high risk (0.76) with definitive certainty, primarily due to strong linguistic indicators of phishing. The Linguistic Agent detected extremely high confidence (0.9999) in phishing language using the BERT model, along with urgency and scarcity tactics, contributing significantly to the final score. The Threat Intelligence Agent found low-certainty matches to known threats, while the Technical Validation Agent's inconclusive results did not mitigate the overall risk. Together, these indicators strongly suggest this email is a phishing attempt, despite the lack of definitive technical or threat intelligence evidence.",0.9999310970306396,DEFINITIVE,0.3,INCONCLUSIVE,0.5,LOW,34.02,2025-11-17T00:08:11.705136,True,success
,software protection computer security .,0,MEDIUM,0.59988,DEFINITIVE,"Based on the email security analysis, this email presents a medium risk, with a definitive certainty level, primarily due to strong indicators of a phishing attempt. The Linguistic Agent identified high-confidence phishing language, with a near-perfect score of 0.9998, detecting urgent language and baiting techniques offering cheap software. Although the Technical Validation and Threat Intelligence agents did not contribute to the risk score, the linguistic red flags alone warrant caution. The convergence of these indicators suggests that while the email may not contain overt technical threats, its content is highly suspicious and could lead to malicious outcomes if interacted with.",0.9998,DEFINITIVE,0.0,INCONCLUSIVE,0.0,LOW,27.26,2025-11-17T00:08:38.961881,True,success
ITHelpdeskDl7rD,Notices Report,1,MEDIUM,0.59958,DEFINITIVE,"Based on the email security analysis, this email presents a medium risk, with a definitive certainty level, primarily due to the linguistic content. The Linguistic Agent identified several red flags, including urgency tactics, authority impersonation, and fear tactics, all contributing to its maximum risk score. Although the Technical Validation and Threat Intelligence agents did not find conclusive evidence, the compelling linguistic indicators strongly suggest a phishing attempt, with the email claiming to be from the IT helpdesk and threatening account suspension if immediate action is not taken. The convergence of these linguistic indicators, backed by the agent's definitive certainty, warrants a medium risk assessment.",0.9993,DEFINITIVE,0.0,INCONCLUSIVE,0.0,LOW,41.74,2025-11-17T00:09:20.706104,False,success
,congratulations,0,MEDIUM,0.65994,DEFINITIVE,"The email has been assessed as a MEDIUM risk, with a definitive certainty level, primarily due to the linguistic content which employs urgency tactics, authority impersonation, and suspicious requests, contributing significantly to the overall risk score. The Linguistic Agent detected these red flags, while the Technical Validation Agent found some inconclusive technical indicators, and the Threat Intelligence Agent did not find any matches in known threat databases. The convergence of these indicators, particularly the high-risk linguistic content, suggests a potential phishing attempt, despite the lack of technical and threat intelligence matches. The final risk score of 0.66 is driven mainly by the linguistic analysis, which has a high weight and definitive certainty, indicating a strong likelihood of malicious intent.",0.9999,DEFINITIVE,0.3,INCONCLUSIVE,0.0,LOW,31.34,2025-11-17T00:09:52.072407,True,success
"""monkey.org Security""",Email to be diasbled,1,MEDIUM,0.59994,DEFINITIVE,"Based on the email security analysis, this email presents a medium risk, with a definitive certainty level. The primary contributing factor is the linguistic content, which the Linguistic Agent flagged with a high risk score of 1.00, indicating strong urgency, fear, and authority impersonation tactics. While the Technical Validation and Threat Intelligence agents did not find conclusive evidence, the linguistic indicators alone, such as the false urgency and impersonation of ""monkey.org Security,"" significantly increase the email's risk. The convergence of these linguistic factors, along with the email's definitive certainty level, suggests a potential phishing attempt.",0.9999,DEFINITIVE,0.0,INCONCLUSIVE,0.0,INCONCLUSIVE,12.22,2025-11-17T00:10:04.298503,False,success
"""Admin@monkey.org""",Re: 25G Extra Storage Limit,1,MEDIUM,0.4913999999999999,MEDIUM,"Based on the email security analysis, this message presents a medium risk, primarily due to linguistic indicators suggesting a phishing attempt. The Linguistic Agent identified high-risk factors such as authority impersonation, urgency, and a suspicious link, contributing significantly to the overall score with a high certainty level. Although the Technical Validation and Threat Intelligence agents did not find conclusive evidence, the combination of these linguistic red flags strongly indicates a potential phishing email. The lack of technical or intelligence-based findings suggests that this might be a novel or previously unrecorded threat, making the linguistic analysis even more critical in this assessment.",0.819,HIGH,0.0,INCONCLUSIVE,0.0,INCONCLUSIVE,15.89,2025-11-17T00:10:20.187067,False,success
"""WeIIsfrg Bnk Entrance (via Google Drive)""","Item shared with you: ""Yours Account Blocked Due to Fraudulent Login.pdf""",1,MEDIUM,0.6999041557312011,DEFINITIVE,"The email has been assessed as a medium risk (0.70) with definitive certainty, primarily due to strong indicators of a phishing attempt. The Linguistic Agent identified high-confidence phishing language (0.9998), fear tactics, and a suspicious sender address, contributing significantly to the risk score. While the Threat Intelligence Agent found no matches in known malware databases, the Technical Validation Agent noted inconclusive technical indicators, such as a recently registered domain age (less than 6 months). The convergence of these factors, particularly the linguistic red flags, strongly suggests this email is an attempt to manipulate the recipient into taking harmful actions.",0.999840259552002,DEFINITIVE,0.5,INCONCLUSIVE,0.0,LOW,40.52,2025-11-17T00:11:00.706225,False,success
"""Monkey.Org Mail Notification""",Monkey.Org Notice:-: Release Important Mails Placed on Hold-10.31.2023,1,LOW,0.2,INCONCLUSIVE,"Based on the email security analysis, the overall risk assessment for this email is low, with a risk score of 0.20 and an inconclusive certainty level. The primary contributing factors to this assessment are the technical validation and threat intelligence agents, which both identified potential concerns. The technical validation agent flagged the email due to unusual formatting and headers, while the threat intelligence agent found that the URL in the email matches entries in known malware databases. Although the linguistic agent did not detect any phishing language, the convergence of these technical and intelligence indicators suggests that the email warrants caution, despite the low overall risk score.",0.0,INCONCLUSIVE,0.5,INCONCLUSIVE,0.5,LOW,19.08,2025-11-17T00:11:19.796611,False,success
,ena and ees industrial sic codes,0,LOW,0.36,LOW,"Based on the email security analysis, the overall risk assessment is low, with a risk score of 0.36 and low certainty. The primary contributing factor to this assessment is the linguistic analysis, which flagged potential phishing language with a risk score of 0.50, contributing 0.30 to the final score. However, the technical validation and threat intelligence agents provided lower risk scores, with the threat intelligence agent finding no matches in known malware databases, which helped to lower the overall risk assessment. The convergence of these indicators suggests that while the email's language may be somewhat suspicious, the lack of technical red flags and threat intelligence matches reduces the overall risk.",0.5,LOW,0.3,INCONCLUSIVE,0.0,LOW,31.26,2025-11-17T00:11:51.057817,True,success
,post br petiition scheduling by east wholesale power,0,LOW,0.36,LOW,"Based on the email security analysis, the overall risk assessment is low, with a risk score of 0.36 and low certainty. The primary contributing factor to this assessment is the linguistic content, which the Linguistic Agent flagged due to its complex language and specific references to internal processes, although it notably lacked urgent language or explicit requests for sensitive information. The Technical Validation Agent found inconclusive technical indicators, while the Threat Intelligence Agent found no matches in known threat databases, which together with the linguistic findings, resulted in the low risk score. The convergence of these indicators suggests that while the email's content is unusual, it does not present an immediate or high-risk threat.",0.5,MEDIUM,0.3,INCONCLUSIVE,0.0,LOW,29.33,2025-11-17T00:12:20.392745,True,success
"""monkey.org""",jose@monkey.org Password expires today,1,HIGH,0.7278350949287414,MEDIUM,"Based on the email security analysis, this email poses a high risk, with a risk score of 0.73 and medium certainty. The primary contributing factors are the linguistic red flags identified by the Linguistic Agent, which detected urgent language, impersonation of the 'monkey.org Support Team', and a suspicious request to continue with the same password. The Threat Intelligence Agent found that the URL in the email matches known malware databases, corroborating the linguistic findings. Although the Technical Validation Agent's results were inconclusive, the convergence of these indicators strongly suggests that this email is a phishing attempt, aiming to trick the recipient into revealing their password.",0.8797251582145691,HIGH,0.5,INCONCLUSIVE,0.5,LOW,33.43,2025-11-17T00:12:53.824767,False,success
,copel position update,0,MEDIUM,0.4599999999999999,LOW,"Based on the email security analysis, this email presents a medium risk, but with low certainty, indicating that while there are some concerning factors, the evidence is not definitive. The primary contributors to this assessment are the Linguistic Agent, which flagged a vague subject line, informal tone, and mention of the scandalous company Enron, and the Threat Intelligence Agent, which found some indicators of potential threats. The Linguistic Agent's findings converge with the Threat Intelligence Agent's results, as the unusual language and references align with known phishing tactics. However, the Technical Validation Agent found inconclusive evidence, and the overall certainty remains low due to the lack of definitive proof, such as a clear malicious URL or a recently registered domain.",0.5,MEDIUM,0.3,INCONCLUSIVE,0.5,LOW,19.9,2025-11-17T00:13:13.726612,True,success
UPS Alerts,URGENT: Delivery Suspension Alert for Your UPS Shipment,1,HIGH,0.75988,DEFINITIVE,"The email has been assessed as a high-risk phishing attempt with a definitive certainty level, primarily due to the linguistic content and technical indicators. The Linguistic Agent identified high urgency language, authority impersonation, and suspicious links, contributing significantly to the overall risk score. The Technical Validation Agent detected inconsistencies in the domain used (trk.inboxlinks.shop) compared to the official UPS domain, further supporting the phishing assessment. While the Threat Intelligence Agent did not find matches in known threat databases, the convergence of linguistic and technical evidence strongly indicates a malicious intent.",0.9998,DEFINITIVE,0.8,INCONCLUSIVE,0.0,INCONCLUSIVE,44.04,2025-11-17T00:13:57.767615,False,success
"""Server Admin - monkey.org""",monkey.org Server - Password Expired,1,MEDIUM,0.5723999999999999,DEFINITIVE,"Based on the email security analysis, this email presents a medium risk, with a definitive certainty level, primarily due to strong indicators of a phishing attempt. The Linguistic Agent identified high-confidence phishing language, including urgency tactics and authority impersonation, contributing significantly to the overall risk score. While the Technical Validation and Threat Intelligence agents did not find conclusive evidence, the compelling linguistic indicators alone warrant caution. The email's subject and sender claiming to be from ""monkey.org"" server admin, combined with the high-confidence phishing detection, suggest a targeted attempt to manipulate the recipient into urgent action.",0.954,DEFINITIVE,0.0,INCONCLUSIVE,0.0,LOW,18.45,2025-11-17T00:14:16.245738,False,success
"""Mail Delivery System monkey.org""",Delivery Status Notification,1,MEDIUM,0.5997,DEFINITIVE,"Email security analysis completed. Risk Score: 0.60 (MEDIUM). Multiple security agents analyzed this email using ML models, infrastructure validation, and threat intelligence databases. See detailed findings below for specific risk indicators.",0.9995,DEFINITIVE,0.0,INCONCLUSIVE,0.0,INCONCLUSIVE,10.47,2025-11-17T00:14:26.712086,False,success
,wall street journal subscription,0,LOW,0.16,INCONCLUSIVE,"Based on the email security analysis, the overall risk assessment for this email is low, with a risk score of 0.16 and an inconclusive certainty level. The primary contributing factors to this assessment are the technical validation and threat intelligence agents, with the latter identifying a potential risk due to the email's URL matching entries in known malware databases. Although the linguistic agent found no phishing language, the technical validation agent flagged the email for further scrutiny, and the threat intelligence agent's findings further supported this concern. Specific evidence supporting this assessment includes the URL's presence in threat databases, contributing to the threat intelligence agent's 0.50 risk score and 20% weight in the final assessment.",0.0,INCONCLUSIVE,0.3,INCONCLUSIVE,0.5,LOW,15.83,2025-11-17T00:14:42.545101,True,success
,increasing political and market pressures to erase the us / mexico,0,LOW,0.36,LOW,"Based on the email security analysis, the overall risk assessment is LOW, with a risk score of 0.36 and low certainty. The PRIMARY contributing factor to this assessment is the Linguistic Agent, which detected low confidence in the email's content using its BERT model (score 0.5), suggesting it might not be a typical phishing attempt but couldn't confidently rule out malicious intent. Although the Technical Validation Agent found inconclusive results and the Threat Intelligence Agent found no matches in known threat databases, the combination of low linguistic confidence and the lack of clear social engineering tactics or known threats leads to this LOW risk assessment. The email appears to be a legitimate report, but the low confidence in its content warrants caution.",0.5,LOW,0.3,INCONCLUSIVE,0.0,LOW,36.7,2025-11-17T00:15:32.946381,True,success
